Tag;Attribute;Value;Offset;EndChar;NumChilds;IsaChild
roleName;_family;ffijas;11767;11772;1;no
roleName;;duennas;11822;11828;1;no
persName;;santa maria;11952;11962;2;no
roleName;;santa;11952;11956;1;no
roleName;_family;fijas;12013;12017;1;no
persName;;donna ximena;12127;12138;2;no
roleName;honorific;donna;12127;12131;1;no
roleName;_family;mugier;12146;12151;1;no
roleName;_family;fijas;12289;12293;1;no
persName;_deity;dios;12303;12306;1;no
persName;;santa maria;12312;12322;2;no
roleName;;santa;12312;12316;1;no
roleName;_family;mugier;12400;12405;1;no
persName;nickname;campeador;12467;12475;1;no
placeName;_facility;san pero;12500;12507;1;no
placeName;;castiella;12522;12530;1;no
persName;nickname;myo c'id el campeador;12578;12598;2;no
persName;nickname;el campeador;12587;12598;1;no
placeName;_facility;puent de arlac'on;12650;12666;1;no
roleName;;caualleros;12685;12694;1;no
persName;;mio c'id el campeador;12734;12754;2;no
addName;;el campeador;12743;12754;1;no
persName;;Martin antolinez;12756;12771;1;no
placeName;;san pero;12801;12808;1;no
persName;nickname;myo c'id;12861;12880;2;no
addName;;el de biuar;12870;12880;2;no
placeName;;biuar;12876;12880;1;no
persName;nickname;myo c'id;13016;13023;1;no
persName;_deity;dios;13053;13056;1;no
persName;_nickname_deity;padre spirital;13063;13076;1;no
persName;nickname;mio c'id;13212;13219;1;no
roleName;;Rey;13388;13390;1;no
persName;nickname;myo c'id;13394;13401;1;no
roleName;;caualleros;13553;13562;1;no
placeName;_facility;san pero;13776;13783;1;no
roleName;;abbat;13810;13814;1;no
persName;_deity;santa trinidad;13847;13860;1;no
persName;nickname;myo c'id;13963;13970;1;no
persName;nickname;myo c'id;14116;14123;1;no
roleName;_family;mugier;14130;14135;1;no
persName;;donna ximena;14159;14170;2;no
roleName;honorific;donna;14159;14163;1;no
persName;_nickname_deity;criador;14212;14218;1;no
persName;nickname;myo c'id;14249;14269;2;no
addName;;el campeador;14258;14269;1;no
persName;_deity;dios;14275;14278;1;no
roleName;_family;padre;14453;14458;1;no
persName;_deity;santa maria;14456;14466;1;no
roleName;_family;madre;14468;14472;1;no
placeName;;belleem;14477;14483;1;no
roleName;;Pastores;14518;14525;1;no
roleName;;Reyes;14570;14574;1;no
placeName;;arabia;14579;14584;1;no
persName;;Melchior;14605;14612;1;no
persName;;gaspar;14616;14621;1;no
persName;;baltasar;14625;14632;1;no
persName;;ionas;14701;14705;1;no
persName;;daniel;14739;14744;1;no
placeName;;Roma;14798;14801;1;no
persName;_deity;sennorsan sabastian;14806;14824;3;no
roleName;honorific;sennor;14806;14811;1;no
roleName;;san;14812;14814;1;no
persName;_deity;santa susanna;14836;14848;2;no
roleName;;santa;14836;14840;1;no
persName;;lazaro;15022;15027;1;no
orgName;_collective;iudios;15053;15058;1;no
geogName;;monte caluarie;15088;15101;1;no
geogName;;golgota;15137;15143;1;no
roleName;;ladrones;15149;15156;1;no
placeName;;parayso;15242;15156;1;no
persName;;Longinos;15319;15156;1;no
